feature,importance
57,0.05874239384219356
55,0.046012643283612244
59,0.015643415128221493
58,0.0027801443823275577
54,0.0011647229689213093
56,0.00024221647780648948
31,0.00016653612749236712
35,0.00012228280851289686
46,0.0001222697001956948
34,0.00010854914551478023
33,7.397190622849825e-05
30,6.876702241958022e-05
42,6.424003611720612e-05
50,5.484190748159534e-05
32,3.190932945792424e-05
22,2.0781772481463327e-05
18,1.231230520942761e-05
52,1.2274446097737534e-05
44,7.790203257277788e-06
20,3.426342433602662e-06
6,-1.8077165194196887e-06
10,-2.5226067178104237e-06
8,-2.5553046726985624e-06
2,-4.930433876319344e-06
0,-8.363124253426187e-06
4,-1.3581828800535156e-05
23,-1.4737711103807172e-05
14,-1.70814502309972e-05
48,-1.8717345988768692e-05
19,-2.6018718025348313e-05
12,-2.637400881107717e-05
16,-3.724155719286119e-05
11,-3.810774829488365e-05
26,-4.59377525948305e-05
7,-6.125494249640633e-05
5,-6.391934874750612e-05
24,-7.087522239021352e-05
47,-8.822110100000039e-05
28,-9.811947186644243e-05
1,-0.00010454550257949687
38,-0.00010537221205285663
21,-0.00012201817802209118
9,-0.00012952773509621317
17,-0.00014946870829521953
36,-0.00017321424320766073
3,-0.00017443094811429397
43,-0.00021490372772008012
13,-0.00023701747821035883
40,-0.00024066770111979736
29,-0.00033810603975722813
15,-0.0003895190098892942
25,-0.0005191616064235386
45,-0.0006088692475715307
53,-0.000620761254240169
49,-0.0007593088968901022
41,-0.0007675532531829732
27,-0.0008163790603415211
37,-0.0011104464455033917
51,-0.0013053053570516485
39,-0.001698385288911445
